metric_id,metric_name,system_id,status,missing_data_fields,missing_capabilities,missing_prediction_fields,calculator_status
E-4,对抗样本抵御能力,SUT-SYN-INVERSE,missing_data,adversarial_id,,,pending
F-1,跨数据集泛化性能,SUT-SYN-PERFECT,calculator_pending,,,,pending
F-1,跨数据集泛化性能,SUT-SYN-INVERSE,calculator_pending,,,,pending
F-2,未知伪造方法识别能力,SUT-SYN-PERFECT,calculator_pending,,,,pending
F-2,未知伪造方法识别能力,SUT-SYN-INVERSE,calculator_pending,,,,pending
F-3,未知伪造区域识别能力,SUT-SYN-PERFECT,missing_data,regions,spatial_localization,regions,pending
F-3,未知伪造区域识别能力,SUT-SYN-INVERSE,missing_data,regions,spatial_localization,regions,pending
F-4,四象限泛化能力,SUT-SYN-PERFECT,calculator_pending,,,,pending
F-4,四象限泛化能力,SUT-SYN-INVERSE,calculator_pending,,,,pending
G-1,证据输出完整性,SUT-SYN-PERFECT,unsupported,,evidence_output,evidence_files,pending
G-1,证据输出完整性,SUT-SYN-INVERSE,unsupported,,evidence_output,evidence_files,pending
G-2,证据定位一致性,SUT-SYN-PERFECT,missing_data,regions,evidence_localization,evidence_files;regions,pending
G-2,证据定位一致性,SUT-SYN-INVERSE,missing_data,regions,evidence_localization,evidence_files;regions,pending
G-3,可解释性证据数量,SUT-SYN-PERFECT,unsupported,,evidence_output,evidence_files,pending
G-3,可解释性证据数量,SUT-SYN-INVERSE,unsupported,,evidence_output,evidence_files,pending
G-4,证据可复核率,SUT-SYN-PERFECT,unsupported,,evidence_output,evidence_files,pending
G-4,证据可复核率,SUT-SYN-INVERSE,unsupported,,evidence_output,evidence_files,pending
G-5,取证报告完整性,SUT-SYN-PERFECT,unsupported,,forensic_reporting,,pending
G-5,取证报告完整性,SUT-SYN-INVERSE,unsupported,,forensic_reporting,,pending
H-1,模型复杂性,SUT-SYN-PERFECT,unsupported,,model_metadata,,pending
H-1,模型复杂性,SUT-SYN-INVERSE,unsupported,,model_metadata,,pending
H-2,部署复杂性,SUT-SYN-PERFECT,unsupported,,deployment_metadata,,pending
H-2,部署复杂性,SUT-SYN-INVERSE,unsupported,,deployment_metadata,,pending
H-3,跨平台能力,SUT-SYN-PERFECT,unsupported,,platform_metadata,,pending
H-3,跨平台能力,SUT-SYN-INVERSE,unsupported,,platform_metadata,,pending
H-4,兼容互操作能力,SUT-SYN-PERFECT,unsupported,,interoperability_metadata,,pending
H-4,兼容互操作能力,SUT-SYN-INVERSE,unsupported,,interoperability_metadata,,pending
H-5,操作易用性,SUT-SYN-PERFECT,unsupported,,usability_evidence,,pending
H-5,操作易用性,SUT-SYN-INVERSE,unsupported,,usability_evidence,,pending
